id,hip,hd,hr,gl,bf,proper,ra,dec,dist,rv,mag,absmag,spect,ci
0,,,,,,Sol,0,0,0,0,-26.7,4.85,G2V,.656,
25,25,224750,9077,,,,.0053,-44.290562,81.367,3.,6.28,1.728,G3IV,.763,
34,34,224758,9078,,,,.006638,26.918108,74.6269,0,6.43,2.066,F7.5IV-V,.514,
43,43,224784,9079,,,,.008593,59.559677,136.2398,-33.,6.18,.508,G9III-IV,1.032,
50,50,224782,,,,,.009533,-53.097713,59.4177,0,6.49,2.62,G1IV,.616,
63,63,224801,9080,,,,.012119,45.253334,187.9699,-3.,6.36,-0.01,B9p SiEu,-0.047,
88,88,224834,9081,,Tau Phe,,.017941,-48.809875,181.8182,8.,5.71,-0.588,G8III,.911,
106,106,224870,9083,,,,.022013,49.98156,199.6008,-20.,6.22,-0.281,G7II-III,.97,
107,107,224865,9082,,,,.022255,-50.337372,166.3894,2.,5.53,-0.576,M2III,1.615,
122,122,224889,9084,,The Oct,,.026616,-77.065727,66.5779,24.,4.78,.663,K2III,1.254,
124,124,224893,9085,,,,.026949,61.222801,943.3962,-23.,5.58,-4.293,F0III,.407,
137,137,224906,9086,,,,.028847,42.367146,374.5318,-11.,6.25,-1.617,B9IIIp Mn,-0.042,
145,145,224926,9087,,29    Psc,,.030402,-3.027504,139.2758,23.,5.13,-0.589,B7III-IV,-0.128,
154,154,224935,9089,,30    Psc,,.032672,-6.014072,132.4503,-12.,4.37,-1.24,M3III,1.631,
171,171,224930,9088,Gl 914A,85    Peg,,.036139,27.082256,12.1699,-37.6,5.8,5.374,G3V,.69,
183,183,224990,9091,,Zet Scl,,.038867,-29.720413,154.0832,8.6,5.04,-0.899,B4V,-0.15,
186,186,224995,9092,,31    Psc,,.040046,8.956824,122.8501,11.,6.33,.883,A6V,.182,
194,194,225003,9093,,32    Psc,,.041584,8.485463,36.9004,10.,5.7,2.865,F0V,.315,
208,207,225009,9094,,,,.043357,66.098969,100000.,-18.,5.87,-14.13,G8III,1.073,
238,238,225045,9095,,,,.049301,-20.045881,61.1621,-4.,6.25,2.318,F6/F7V,.526,
253,253,225069,9096,,,,.052181,-24.145145,203.666,25.,6.46,-0.085,K1III,1.176,
274,274,225094,9097,,,,.057143,63.640518,763.3588,-43.,6.24,-3.174,B3Ia,.332,
300,301,225132,9098,,2    Cet,,.06233,-17.335987,83.4725,-5.,4.55,-0.058,B9IVn,-0.047,
302,302,225136,9099,,,,.064342,66.712181,265.9574,15.,6.31,-0.814,M4,1.629,
330,330,225180,9100,,9    Cas,,.070462,62.287663,100000.,-18.,5.9,-14.1,A1III,.274,
343,343,225197,9101,,,,.072165,-16.529036,90.6618,-27.,5.78,.993,K0III,1.084,
345,345,225200,9102,,,,.07231,-29.268822,124.8439,28.,6.38,.898,A1V,.006,
355,355,225212,9103,,3    Cet,,.075033,-10.509523,641.0256,-42.,4.99,-4.044,K3Ibvar,1.619,
366,365,225218,9105,,,,.07683,42.092529,386.1004,-8.,6.11,-1.824,B9III,.159,
377,377,225253,9108,,,,.078131,-71.43689,175.4386,-3.,5.59,-0.631,B8III,-0.1,
379,379,225216,9104,,,,.078304,67.166443,92.6784,-27.,5.68,.845,K1III,1.051,
394,394,225239,9107,NN 3002,,,.081573,34.659798,39.185,6.4,6.09,3.124,G2V,.632,
399,399,225276,9109,,,,.08222,26.648764,200.,-5.,6.25,-0.255,K4IIIb,1.368,
410,410,225292,,,,,.083662,27.674784,168.0672,11.5,6.47,.343,G8II,.946,
417,417,6,2,,,,.084395,-0.503035,138.8889,14.,6.32,.607,G9III:,1.099,
418,418,225289,9110,,,,.085039,61.313969,221.7295,14.,5.8,-0.929,B8MNp...,-0.067,
441,443,28,3,,33    Psc,,.088928,-5.707618,39.4945,-6.,4.61,1.627,K1III,1.029,
475,476,87,4,,86    Peg,,.094989,13.396266,114.2857,-2.,5.55,.26,G5III,.901,
517,518,123,5,Gl 4.1A,,,.104356,58.436733,21.4777,-11.6,5.98,4.32,G5V,.687,
521,522,142,6,Gl 4.2A,,,.105277,-49.075191,25.7136,2.6,5.7,3.649,G1IV...,.519,
530,531,144,7,,10    Cas,,.10737,64.196167,265.9574,-0.4,5.57,-1.554,B9III,-0.023,
543,544,166,8,Gl 5,,,.110209,29.021502,13.6705,-5.5,6.07,5.391,K0V,.752,
559,560,203,9,,,,.113911,-23.10754,39.3856,3.,6.19,3.213,F2IV,.386,
601,602,256,10,,,,.121741,-17.38699,176.0563,-9.,6.2,-0.028,A2IV/V,.133,
634,635,315,11,,,,.12892,-2.548679,183.4862,13.,6.43,.112,B8IIIsp...,-0.146,
635,636,319,12,,,,.129693,-22.50856,78.3699,-13.,5.93,1.459,A1V,.141,
654,655,344,13,,,,.134303,-33.529327,94.9668,7.,5.67,.782,K1III,1.119,
663,664,352,14,,,,.136693,-2.447711,279.3296,1.,6.18,-1.051,K2III,1.366,
670,671,360,16,,,,.138204,-8.824112,98.4252,20.,5.99,1.024,G8III:,1.034,
676,677,358,15,,21Alp And,Alpheratz,.139791,29.090431,29.7442,-12.,2.07,-0.297,B9p,-0.038,
693,695,371,,,,,.142462,63.204041,369.0037,-7.,6.41,-1.425,G3II,.998,
694,696,402,18,,,,.142638,-17.578156,578.0347,-17.,6.11,-2.7,M0/M1IIICNp,1.664,
697,699,400,17,Gl 6,,,.14471,36.627125,32.4465,-15.2,6.21,3.654,F8IV,.504,
714,716,417,19,,,,.147814,25.462984,138.5042,15.,6.24,.533,K0III,.976,
726,728,434,,,,,.150045,28.247543,110.8647,6.9,6.47,1.246,A4Vm,.242,
727,729,448,22,,87    Peg,,.150672,18.211964,87.4126,-23.,5.57,.862,G9III,1.043,
728,730,469,23,,,,.15066,-54.00193,128.3697,1.,6.32,.778,G4IV...,.738,
744,746,432,21,Gl 8,11Bet Cas,Caph,.152887,59.14978,16.7842,11.3,2.28,1.155,F2III-IV,.38,
758,760,431,20,,,,.155525,79.714546,105.4852,1.,6.01,.894,A7IV,.203,
759,761,493,24,,Kap1Scl,,.155851,-27.987928,77.4593,9.,5.42,.975,F3V,.414,
763,765,496,25,Gl 9.1,Eps Phe,,.156836,-45.747425,44.2087,-9.2,3.88,.652,K0III,1.013,
796,798,565,,,,,.164474,-62.296795,132.2751,0,6.34,.733,A6V,.164,
811,813,560,26,,34    Psc,,.167278,11.145813,93.633,14.,5.54,.683,B9V,-0.064,
812,814,636,30,,Gam3Oct,,.167293,-82.224045,78.064,15.,5.29,.828,K1/K2III,1.049,
838,840,587,29,,,,.171908,-5.248588,58.309,24.,5.84,2.011,K1III,.973,
839,841,571,27,,22    And,,.172012,46.072273,377.3585,-5.,5.01,-2.874,F2II,.405,
